player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
TkMT4agdsh,alfort,C,-129.09,20,257,1,24.51,63,257,19.84,51,257,19.23,15,78,22.22,2,9,59.09,13,22,47.5,19,40,52.63,10,19
QK8nAFN9E2,カイン,C,-74.6,20,257,1,28.02,72,257,15.18,39,257,6.25,5,80,40.0,4,10,44.44,4,9,32.61,15,46,66.67,10,15
a19dc17a-fb66-479d-900c-93dbfc56e84b,Hiruma,D,+105.18,20,252,1,25.0,63,252,19.84,50,252,5.88,5,85,45.45,5,11,50.0,11,22,35.0,14,40,57.14,8,14
83ad7a42-97f6-4455-a8b1-bc1bffaf5208,kumasuke,D,-69.68,20,235,1,17.02,40,235,15.32,36,235,8.43,7,83,81.82,9,11,53.85,7,13,38.89,7,18,71.43,5,7
4kHSZklLpK,teish,C,-101.11,20,224,1,18.3,41,224,15.18,34,224,8.82,6,68,66.67,4,6,16.67,1,6,53.85,7,13,42.86,3,7
3f54ee51-69b1-4678-8ba5-516769dc6286,SEIHO,C,-204.47,20,203,1,24.63,50,203,19.7,40,203,9.33,7,75,62.5,5,8,81.82,9,11,37.5,9,24,44.44,4,9
iOgb92C-Hi,sasakure,C,-11.76,20,186,1,23.66,44,186,20.97,39,186,11.11,7,63,66.67,4,6,23.08,3,13,26.32,5,19,40.0,2,5
9f6f4359-8f01-4a2a-802a-8e77d02fea6f,vivi,D,+150.94,20,185,1,17.84,33,185,14.59,27,185,5.63,4,71,42.86,3,7,28.57,2,7,31.25,5,16,60.0,3,5
5E5VYl6oOU,ねくと,C,-114.35,20,184,1,26.63,49,184,21.2,39,184,15.38,8,52,57.14,4,7,80.0,8,10,28.57,6,21,50.0,3,6
514c57a9-c8e8-4ea6-b08c-1771ef1bb983,Latias,D,-79.52,20,182,1,26.37,48,182,19.78,36,182,15.71,11,70,33.33,2,6,61.54,8,13,35.71,10,28,40.0,4,10
