順位,player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
69,jfd6Uaakn8,ジョニー,C,+40,20,12,1,33.33,12,16.67,12,0.0,5,0.0,0,0.0,0,0.0,0,0.0,0
70,6weTfFBYpF,ほたるいか,C,+23,20,275,2,26.91,275,18.18,275,13.33,120,10.0,10,53.33,15,25.64,39,60.0,10
71,xOaP7PB88A,sokun777,C,+16,20,229,2,30.13,229,19.21,229,6.45,93,50.0,6,56.25,16,23.53,34,50.0,8
72,5E5VYl6oOU,ねくと,C,+14,20,135,2,28.15,135,20.74,135,11.76,51,37.5,8,60.0,10,28.57,21,50.0,6
73,lRMrY2rxFn,MSK,C,0,20,2,1,0.0,2,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
74,sDxsghMy-B,kyntma,C,0,20,1,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
75,5ogXjv4ef9,ラスカル,C,-20,20,1,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
76,_1mfZ1y-M8,あーる,C,-28,20,42,1,45.24,42,28.57,42,6.67,15,0.0,2,66.67,3,11.11,9,0.0,1
77,5bOqayAYt3,dny,C,-60,20,27,1,22.22,27,18.52,27,0.0,7,100.0,1,0.0,0,0.0,2,0.0,0
78,4_RBXVU9-k,翔斗,C,-60,20,2118,6,23.14,2118,16.9,2118,5.99,902,55.42,83,51.56,128,26.17,256,59.7,67
79,SQgoIV_H58,けーたさん,C,-60,20,93,1,22.58,93,13.98,93,8.11,37,0.0,0,75.0,8,15.38,13,50.0,2
80,6ybXdApWzf,icchi,C,-77,20,57,1,36.84,57,24.56,57,20.83,24,100.0,3,50.0,4,36.36,11,75.0,4
81,cpr364TXsN,くま,C,-138,20,198,2,21.72,198,15.66,198,7.59,79,66.67,9,77.78,9,30.0,20,33.33,6
82,-WgKDrZMvL,mo',C,-240,20,1026,7,27.88,1026,20.37,1026,9.2,413,69.05,42,41.43,70,29.92,127,55.26,38
83,iBhJbKViQ_,おかピー,C,-284,20,134,2,41.79,134,31.34,134,7.55,53,60.0,10,80.0,15,39.29,28,36.36,11
84,zz83sIdu2k,りく,C,-376,20,346,3,49.13,346,39.02,346,24.46,139,57.89,19,64.62,65,26.92,104,46.43,28
85,2GlUDrVHSg,k.k,C,-457,20,40,1,55.0,40,30.0,40,13.33,15,66.67,3,50.0,4,50.0,12,16.67,6
86,OOnwSL9TFS,つだピもん,C,-517,20,113,1,27.43,113,15.04,113,9.3,43,100.0,3,100.0,1,44.44,9,25.0,4
87,hig4fvwo_m,とーち,C,-583,20,1288,9,27.8,1288,19.95,1288,8.58,536,66.0,50,72.45,98,30.89,191,45.76,59
88,MI-fYAoFiY,ゆうま,C,-588,20,845,4,24.97,845,17.04,845,7.06,340,83.33,24,61.54,52,22.0,100,45.45,22
89,JL0yn4eBi6,ヤステ,C,-630,20,19,1,15.79,19,10.53,19,0.0,9,100.0,1,0.0,0,50.0,2,0.0,1
90,SsAkQq2Oa9,やましー,C,-668,20,69,2,28.99,69,15.94,69,3.57,28,50.0,4,50.0,4,25.0,12,0.0,3
91,GtqOGZOqIV,粗茶,C,-845,20,406,2,26.35,406,19.95,406,12.05,166,46.15,13,51.43,35,26.32,57,60.0,15
92,6EXZrOgNuV,ふじ,C,-887,20,86,1,16.28,86,10.47,86,10.53,38,0.0,1,40.0,5,27.27,11,33.33,3
93,y4bVPCJM4_,なかい,C,-943,20,132,1,16.67,132,9.85,132,1.64,61,50.0,6,50.0,2,9.09,11,100.0,1
94,lYH850EfPw,no,C,-1015,20,10,1,40.0,10,20.0,10,0.0,5,0.0,0,100.0,1,33.33,3,0.0,1
95,DrGOt1cq1y,Jongo,C,-1032,20,427,3,26.46,427,20.37,427,10.8,176,68.42,19,48.15,27,36.0,50,38.89,18
96,afwX5VdcTj,はやと,C,-1040,20,83,1,20.48,83,12.05,83,6.06,33,100.0,3,0.0,2,16.67,6,100.0,1
97,6DX7hOo5Ri,てつ,C,-1066,20,126,1,42.06,126,28.57,126,18.37,49,57.14,7,75.0,16,42.86,28,50.0,12
98,7n59-giX1P,るも,C,-1121,20,136,2,27.21,136,23.53,136,17.86,56,20.0,5,52.94,17,18.18,22,75.0,4
99,7x5MHOv7Oo,yutorse,C,-1165,20,78,1,33.33,78,25.64,78,8.0,25,100.0,2,83.33,6,38.46,13,20.0,5
100,EN9N_Z9A78,ぼくだよ,C,-1407,20,314,4,30.25,314,23.25,314,15.2,125,57.14,21,58.62,29,33.33,48,56.25,16
101,A-C0iUFfvO,塾長(びっとぶりっと),C,-1480,20,27,1,29.63,27,18.52,27,0.0,9,100.0,1,66.67,3,16.67,6,100.0,1
102,g6iLEQsU67,makoh,C,-1505,20,78,1,24.36,78,17.95,78,6.9,29,0.0,2,83.33,6,36.36,11,25.0,4
103,Kyu60mEERY,Sabosuke,C,-1602,20,185,2,19.46,185,15.14,185,6.41,78,42.86,7,50.0,10,21.05,19,50.0,4
104,-QE9uKlHEU,kenyu,C,-1624,20,237,2,30.38,237,18.99,237,5.45,110,50.0,6,50.0,12,35.29,34,75.0,12
105,WABAdHmLRW,たりくまる,C,-1660,20,63,1,49.21,63,25.4,63,4.55,22,0.0,2,55.56,9,39.13,23,33.33,9
106,Lx-JfyAGSv,Sky,C,-1855,20,38,1,36.84,38,23.68,38,21.43,14,0.0,0,42.86,7,45.45,11,20.0,5
107,TVNlFwDOoe,KAWAUSO,C,-1929,20,119,2,33.61,119,23.53,119,11.9,42,33.33,6,76.92,13,38.46,26,50.0,10
108,Bvxa5VV39S,piro,C,-1946,20,326,2,26.07,326,18.4,326,10.07,139,44.44,9,48.0,25,36.17,47,47.06,17
109,NnZvVXUwZ4,A.,C,-2000,20,2,1,50.0,2,50.0,2,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0
110,8IgjF6KI_P,tomo0428,C,-2146,20,211,2,36.49,211,25.59,211,16.48,91,25.0,12,66.67,18,23.08,39,44.44,9
111,16f983i6Dk,なゆき,C,-2395,20,72,1,48.61,72,27.78,72,13.33,30,0.0,2,66.67,9,24.0,25,33.33,6
112,A9xvP3DhlS,mega,C,-2455,20,89,1,32.58,89,16.85,89,15.15,33,0.0,2,75.0,4,20.0,20,25.0,4
113,tOQgx5q4M5,こうちゃん,C,-2521,20,103,1,20.39,103,18.45,103,8.51,47,40.0,5,72.73,11,28.57,14,25.0,4
114,4kHSZklLpK,teish,C,-2549,20,1061,3,27.33,1061,19.98,1061,11.62,439,68.89,45,45.21,73,31.75,126,62.5,40
115,TOznNDIpCr,あい,C,-2580,20,87,1,26.44,87,19.54,87,14.63,41,50.0,2,71.43,7,35.71,14,20.0,5
116,lQ2rbwu868,ケイン寿司,C,-2756,20,79,1,21.52,79,10.13,79,2.86,35,0.0,1,0.0,3,0.0,11,0.0,0
117,iKNrGrbUkg,UMAUMA,C,-2798,20,437,1,27.69,437,17.16,437,7.06,170,80.0,10,48.15,27,28.07,57,43.75,16
118,-lzw3Qbe04,Dai,C,-2850,20,73,1,52.05,73,35.62,73,30.0,30,20.0,5,80.0,10,33.33,24,25.0,8
119,X2HiN5-cFQ,ゴン02（江戸犬）,C,-2868,20,3027,9,29.24,3027,21.11,3027,10.63,1260,59.85,132,55.27,237,36.36,462,56.55,168
120,nxKtWVcmeY,北ふくろー,C,-2871,20,289,2,35.64,289,19.38,289,4.65,129,64.29,14,61.11,18,20.0,55,45.45,11
121,xS6UcJwLsG,Tommy,C,-3000,20,23,1,56.52,23,21.74,23,7.69,13,0.0,1,33.33,3,36.36,11,50.0,4
122,0c3gLD4eiE,NABO,C,-3033,20,173,1,29.48,173,21.39,173,15.94,69,75.0,4,58.33,12,30.43,23,28.57,7
123,FxzN600G3r,はせがえる,C,-3252,20,78,2,52.56,78,37.18,78,27.59,29,25.0,4,70.0,10,30.43,23,57.14,7
124,nBDoNSY8n2,MIU,C,-3344,20,691,5,29.67,691,17.66,691,9.89,283,61.11,18,48.89,45,48.36,122,55.93,59
125,WtIP2AbI23,ノガード,C,-3374,20,1122,9,34.49,1122,24.33,1122,14.16,466,72.0,50,48.31,89,34.44,180,53.23,62
126,0vKy_AgCXx,tknsn,C,-3442,20,354,5,29.94,354,20.34,354,6.2,129,70.0,10,37.04,27,17.54,57,40.0,10
127,sYruTEJ8Uw,Mazzo,C,-3747,20,319,3,31.35,319,20.06,319,14.17,127,25.0,8,76.92,26,28.81,59,52.94,17
128,NTr_pi-AHh,BJshin,C,-3808,20,53,1,64.15,53,41.51,53,25.0,16,33.33,3,75.0,4,28.57,14,25.0,4
129,WCz-o4BU-5,dots,C,-3889,20,159,2,32.7,159,19.5,159,10.34,58,83.33,6,70.0,10,21.43,28,33.33,6
130,stzdogxFRA,ミナっち,C,-4178,20,627,5,31.74,627,20.1,627,12.06,257,50.0,20,64.1,39,49.56,113,51.79,56
131,UHNPbgw1ue,okbokujo,C,-4527,20,230,3,34.35,230,16.96,230,6.38,94,55.56,9,47.06,17,38.6,57,63.64,22
132,MCmjCniXJd,dismal,C,-4611,20,427,3,37.24,427,22.48,427,11.49,174,50.0,14,90.0,40,25.53,94,41.67,24
133,Oc04ITRF7i,waho,C,-4669,20,1320,6,24.09,1320,17.5,1320,7.29,535,60.0,35,47.13,87,34.84,155,51.85,54
134,fyjEJaUFUd,をにぎり,C,-4685,20,529,4,38.56,529,24.39,529,11.01,227,25.81,31,58.33,48,30.83,133,48.78,41
135,O1ujh7Dkxd,shunta,C,-4767,20,1969,6,27.48,1969,17.22,1969,7.43,848,69.7,66,42.11,114,35.81,296,51.89,106
136,Oo-rx1G24B,GIL RAIM,C,-4879,20,844,5,36.85,844,21.8,844,8.21,341,35.9,39,58.82,68,36.98,192,42.25,71
137,YkRLv6Nf7r,27,C,-5023,20,858,4,28.44,858,21.1,858,10.66,366,57.14,35,54.76,84,35.34,133,48.94,47
138,0QyEE5Hc9o,常盤木いつき,C,-5084,20,588,6,24.83,588,17.69,588,7.72,259,65.38,26,51.43,35,26.03,73,52.63,19
139,3FatmzAl-m,Kuni,C,-5230,20,1335,6,46.44,1335,25.62,1335,13.53,584,36.36,66,75.0,112,35.95,395,42.96,142
140,hetGK5oIn4,yoh,C,-5509,20,499,2,39.08,499,11.82,499,9.48,116,46.67,15,46.43,28,26.0,50,46.15,13
141,s_7Utr4tDi,それいゆ るな,C,-5582,20,659,4,33.08,659,17.6,659,6.99,286,33.33,21,47.62,42,33.11,148,51.02,49
142,wO4Vw2dQ8t,イナズマKすけ,C,-5873,20,430,6,28.37,430,20.0,430,10.53,171,61.54,13,48.84,43,31.94,72,52.17,23
143,SrJdWlcNBY,RYOTA,C,-6271,20,680,6,29.12,680,18.97,680,8.93,280,75.86,29,51.22,41,23.66,93,50.0,22
144,9kBl9X8tEm,だいすけ,C,-6433,20,402,4,25.62,402,14.93,402,8.48,165,40.0,10,33.33,12,38.46,52,20.0,20
145,9W903vxPw_,そふとくりーむ,C,-6911,20,552,4,30.25,552,18.84,552,6.82,220,61.54,26,52.0,25,28.95,76,54.55,22
146,W_OnerqyAy,naruko,C,-7329,20,213,1,55.87,213,36.15,213,16.05,81,36.84,19,55.0,20,31.75,63,30.0,20
147,26v7hSw7Sn,わた,C,-7980,20,842,6,49.05,842,32.78,842,21.69,355,33.96,53,60.95,105,32.55,255,48.19,83
148,yOGROR9-hE,ワイエム,C,-8201,20,281,4,46.26,281,17.79,281,1.8,111,12.5,16,5.56,18,34.62,104,61.11,36
149,cCFXQyltQ-,engawa,C,-8873,20,2032,6,29.72,2032,18.66,2031,9.14,864,44.44,81,58.54,123,33.24,352,47.01,117
150,wE-EPOxf9q,宇宙１のたっちゃん,C,-8975,20,110,1,43.64,110,24.55,110,16.28,43,42.86,7,46.15,13,37.5,32,33.33,12
151,vdNIJNJGUU,すとふぁ,C,-12961,20,1611,7,26.94,1611,19.18,1611,7.11,675,55.74,61,66.38,116,32.46,228,51.35,74
152,ZzPjBrJeSm,roi,C,-22361,20,810,7,49.01,810,28.77,810,14.42,326,22.45,49,57.69,78,38.58,254,43.88,98
