player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
t7MdS6sSCT,satoru,C,-15.31,20,64,2,29.69,19,64,20.31,13,64,18.75,3,16,0.0,0,2,66.67,4,6,28.57,4,14,50.0,2,4
s_7Utr4tDi,それいゆ るな,C,+9.6,20,47,1,36.17,17,47,19.15,9,47,9.09,1,11,100.0,1,1,0.0,0,3,20.0,2,10,50.0,1,2
yHZrsG6l5j,sigma,C,+16.62,20,46,4,23.91,11,46,21.74,10,46,12.5,2,16,100.0,1,1,100.0,3,3,50.0,2,4,100.0,2,2
Oc04ITRF7i,waho,C,-68.7,20,27,1,18.52,5,27,11.11,3,27,16.67,1,6,100.0,1,1,100.0,2,2,0.0,0,4,0.0,0,0
XaClitYV1x,らねおか,B,+18.77,20,21,1,19.05,4,21,19.05,4,21,0.0,0,2,0.0,0,0,50.0,1,2,100.0,2,2,100.0,2,2
605b96e3-56ed-49d6-aef9-361b116cb682,レモン,C,-18.23,20,14,1,35.71,5,14,21.43,3,14,0.0,0,6,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0
EN9N_Z9A78,ぼくだよ,C,-20.09,20,12,1,41.67,5,12,33.33,4,12,25.0,1,4,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0
O1ujh7Dkxd,shunta,C,-5,20,7,1,14.29,1,7,0.0,0,7,0.0,0,5,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0
5f3818e5-f4e0-44a5-b14f-76d6d270c526,driven,C,-1,20,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
MqZu0oArm3,小鳥遊ひいろ,C,+1.5,20,1,1,100.0,1,1,100.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
